key,project,value,severity
720,2,1,CRITICAL
720,3,1,CRITICAL
720,4,2,CRITICAL
720,5,2,CRITICAL
720,6,49,CRITICAL
720,7,3,CRITICAL
720,8,3,CRITICAL
720,9,3,CRITICAL
720,10,13,CRITICAL
720,11,15,CRITICAL
665,1,120,MINOR
665,2,120,MINOR
665,3,120,MINOR
665,4,254,MINOR
665,5,304,MINOR
665,6,572,MINOR
665,7,563,MINOR
665,8,562,MINOR
665,9,562,MINOR
665,10,622,MINOR
665,11,621,MINOR
634,1,160,MINOR
634,2,160,MINOR
634,3,202,MINOR
634,4,314,MINOR
634,5,342,MINOR
634,6,505,MINOR
634,7,513,MINOR
634,8,516,MINOR
634,9,517,MINOR
634,10,534,MINOR
634,11,542,MINOR
